"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","London","Institute for Apprenticeships and Technical Education","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Legal Aid Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","Unknown","90","90","39150","32640"
"New entrant CS","2021","London","Met Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Other","50","50","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Security","40","40","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","100","100","41290","33210"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Digital, Data and Technology","120","120","53540","55000"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Operational Delivery","260","260","34390","32870"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Crime Agency","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2021","London","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Crime Agency","Operational Delivery","270","260","36700","36200"
"New entrant CS","2021","London","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Infrastructure Commission","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Infrastructure Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Infrastructure Commission","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Savings and Investments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Savings and Investments","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Savings and Investments","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Northern Ireland Office","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Other","70","70","35740","25750"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
