"Status","Year","Profession_of_post","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Operational Delivery","London","30-39","820","780","35770","31060"
"Leaver CS","2022","Operational Delivery","London","40-49","560","520","40340","31090"
"Leaver CS","2022","Operational Delivery","London","50-59","590","550","41250","31880"
"Leaver CS","2022","Operational Delivery","London","60-64","360","310","39160","31880"
"Leaver CS","2022","Operational Delivery","London","65+","310","230","31500","29080"
"Leaver CS","2022","Operational Delivery","North East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","North East (England)","20-29","270","260","22280","21260"
"Leaver CS","2022","Operational Delivery","North East (England)","30-39","210","190","25020","21680"
"Leaver CS","2022","Operational Delivery","North East (England)","40-49","150","140","27040","22010"
"Leaver CS","2022","Operational Delivery","North East (England)","50-59","230","200","28870","23940"
"Leaver CS","2022","Operational Delivery","North East (England)","60-64","210","150","27800","26120"
"Leaver CS","2022","Operational Delivery","North East (England)","65+","200","130","24200","21260"
"Leaver CS","2022","Operational Delivery","North West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","North West (England)","20-29","570","550","22770","21260"
"Leaver CS","2022","Operational Delivery","North West (England)","30-39","450","420","25080","24880"
"Leaver CS","2022","Operational Delivery","North West (England)","40-49","300","270","26410","24890"
"Leaver CS","2022","Operational Delivery","North West (England)","50-59","550","480","28550","26120"
"Leaver CS","2022","Operational Delivery","North West (England)","60-64","410","320","28130","26130"
"Leaver CS","2022","Operational Delivery","North West (England)","65+","400","280","24580","21680"
"Leaver CS","2022","Operational Delivery","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Overseas","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Scotland","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Scotland","20-29","220","200","23510","21640"
"Leaver CS","2022","Operational Delivery","Scotland","30-39","190","180","26460","24890"
"Leaver CS","2022","Operational Delivery","Scotland","40-49","150","140","27640","26840"
"Leaver CS","2022","Operational Delivery","Scotland","50-59","300","270","28680","27570"
"Leaver CS","2022","Operational Delivery","Scotland","60-64","240","180","29880","27570"
"Leaver CS","2022","Operational Delivery","Scotland","65+","210","150","25990","23780"
"Leaver CS","2022","Operational Delivery","South East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","South East (England)","20-29","680","660","24010","23630"
"Leaver CS","2022","Operational Delivery","South East (England)","30-39","470","440","26510","26830"
"Leaver CS","2022","Operational Delivery","South East (England)","40-49","380","350","27690","27570"
"Leaver CS","2022","Operational Delivery","South East (England)","50-59","550","490","29000","27570"
"Leaver CS","2022","Operational Delivery","South East (England)","60-64","310","250","28830","27570"
"Leaver CS","2022","Operational Delivery","South East (England)","65+","300","200","25650","24800"
"Leaver CS","2022","Operational Delivery","South West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","South West (England)","20-29","370","370","22690","21260"
"Leaver CS","2022","Operational Delivery","South West (England)","30-39","270","240","27130","25460"
"Leaver CS","2022","Operational Delivery","South West (England)","40-49","200","190","28650","27570"
"Leaver CS","2022","Operational Delivery","South West (England)","50-59","290","250","27550","27130"
"Leaver CS","2022","Operational Delivery","South West (England)","60-64","200","150","29050","27570"
"Leaver CS","2022","Operational Delivery","South West (England)","65+","180","120","28180","27130"
"Leaver CS","2022","Operational Delivery","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","20-29","140","120","20900","21590"
"Leaver CS","2022","Operational Delivery","Unknown","30-39","120","90","22690","21840"
"Leaver CS","2022","Operational Delivery","Unknown","40-49","90","70","24200","21840"
"Leaver CS","2022","Operational Delivery","Unknown","50-59","60","50","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","60-64","60","40","23210","21840"
"Leaver CS","2022","Operational Delivery","Unknown","65+","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Wales","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Wales","20-29","300","290","22470","21260"
"Leaver CS","2022","Operational Delivery","Wales","30-39","200","180","26040","22600"
"Leaver CS","2022","Operational Delivery","Wales","40-49","130","120","26730","22160"
"Leaver CS","2022","Operational Delivery","Wales","50-59","200","170","28420","26120"
"Leaver CS","2022","Operational Delivery","Wales","60-64","160","120","29210","27370"
"Leaver CS","2022","Operational Delivery","Wales","65+","160","110","26880","23880"
"Leaver CS","2022","Operational Delivery","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","West Midlands (England)","20-29","460","450","23720","21260"
"Leaver CS","2022","Operational Delivery","West Midlands (England)","30-39","310","290","27930","27570"
"Leaver CS","2022","Operational Delivery","West Midlands (England)","40-49","250","220","30030","27570"
"Leaver CS","2022","Operational Delivery","West Midlands (England)","50-59","290","250","31060","27570"
"Leaver CS","2022","Operational Delivery","West Midlands (England)","60-64","210","170","29000","27130"
"Leaver CS","2022","Operational Delivery","West Midlands (England)","65+","170","120","25120","26060"
"Leaver CS","2022","Operational Delivery","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Yorkshire and The Humber","20-29","440","430","23570","21680"
"Leaver CS","2022","Operational Delivery","Yorkshire and The Humber","30-39","360","330","27100","27570"
"Leaver CS","2022","Operational Delivery","Yorkshire and The Humber","40-49","220","200","26700","26580"
"Leaver CS","2022","Operational Delivery","Yorkshire and The Humber","50-59","340","310","28570","27370"
"Leaver CS","2022","Operational Delivery","Yorkshire and The Humber","60-64","230","180","28650","27570"
"Leaver CS","2022","Operational Delivery","Yorkshire and The Humber","65+","200","140","25390","25190"
"Leaver CS","2022","Operational Research","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","London","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","London","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","South East (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","South East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","South East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","South East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","South West (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","South West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Wales","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East Midlands (England)","65+","30","30","[c]","[c]"
"Leaver CS","2022","Other","East of England","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East of England","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East of England","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East of England","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East of England","50-59","50","40","[c]","[c]"
"Leaver CS","2022","Other","East of England","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","East of England","65+","40","30","[c]","[c]"
"Leaver CS","2022","Other","London","20-29","190","180","29460","27400"
"Leaver CS","2022","Other","London","30-39","80","80","40060","31060"
"Leaver CS","2022","Other","London","40-49","70","70","50970","46200"
"Leaver CS","2022","Other","London","50-59","80","70","46610","34630"
"Leaver CS","2022","Other","London","60-64","50","50","[c]","[c]"
"Leaver CS","2022","Other","London","65+","50","40","40430","30800"
"Leaver CS","2022","Other","North East (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North West (England)","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Other","North West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Overseas","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Overseas","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Overseas","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Scotland","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Other","Scotland","30-39","40","40","[c]","[c]"
"Leaver CS","2022","Other","Scotland","40-49","40","30","[c]","[c]"
"Leaver CS","2022","Other","Scotland","50-59","60","60","28740","26270"
"Leaver CS","2022","Other","Scotland","60-64","70","70","32150","26120"
"Leaver CS","2022","Other","Scotland","65+","40","40","[c]","[c]"
"Leaver CS","2022","Other","South East (England)","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Other","South East (England)","30-39","40","40","[c]","[c]"
"Leaver CS","2022","Other","South East (England)","40-49","30","30","[c]","[c]"
"Leaver CS","2022","Other","South East (England)","50-59","110","100","24380","20970"
"Leaver CS","2022","Other","South East (England)","60-64","90","90","25830","21610"
"Leaver CS","2022","Other","South East (England)","65+","90","80","25880","21580"
"Leaver CS","2022","Other","South West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","South West (England)","20-29","90","90","20250","19460"
"Leaver CS","2022","Other","South West (England)","30-39","70","70","26770","26670"
"Leaver CS","2022","Other","South West (England)","40-49","50","50","29280","26670"
"Leaver CS","2022","Other","South West (England)","50-59","80","80","33510","27100"
"Leaver CS","2022","Other","South West (England)","60-64","90","80","31300","27000"
"Leaver CS","2022","Other","South West (England)","65+","80","70","25570","21380"
"Leaver CS","2022","Other","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Unknown","20-29","60","60","28110","28980"
"Leaver CS","2022","Other","Unknown","30-39","60","60","34180","32700"
"Leaver CS","2022","Other","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Unknown","50-59","40","40","[c]","[c]"
"Leaver CS","2022","Other","Unknown","60-64","50","50","43870","38670"
"Leaver CS","2022","Other","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Wales","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Wales","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Wales","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Wales","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Wales","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Wales","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Wales","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","West Midlands (England)","50-59","30","30","[c]","[c]"
"Leaver CS","2022","Other","West Midlands (England)","60-64","30","30","[c]","[c]"
"Leaver CS","2022","Other","West Midlands (England)","65+","30","30","[c]","[c]"
"Leaver CS","2022","Other","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Yorkshire and The Humber","60-64","50","40","[c]","[c]"
"Leaver CS","2022","Other","Yorkshire and The Humber","65+","40","30","[c]","[c]"
"Leaver CS","2022","Planning","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","London","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","London","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","London","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","North West (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","South West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Wales","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Wales","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","North East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","South East (England)","30-39","[c]","[c]","[c]","[c]"
