"Status","Year","Disability","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for Education (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","FCDO Services","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","62780","67050"
"In post","2021","Declared non-disabled","Legal","Government Legal Department","1460","1350","59170","55000"
"In post","2021","Declared non-disabled","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Courts and Tribunals Service","870","770","43580","43460"
"In post","2021","Declared non-disabled","Legal","HM Land Registry","150","130","51950","60520"
"In post","2021","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","2190","2100","33450","31810"
"In post","2021","Declared non-disabled","Legal","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Legal Aid Agency","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","50","50","57070","57170"
"In post","2021","Declared non-disabled","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Gas and Electricity Markets","70","70","61590","62380"
"In post","2021","Declared non-disabled","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Serious Fraud Office","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Welsh Government (excl. agencies)","130","120","56540","60830"
"In post","2021","Declared non-disabled","Legal","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Medicines and Healthcare Products Regulatory Agency","80","70","68000","68600"
"In post","2021","Declared non-disabled","Medicine","Ministry of Defence (excl. agencies)","1050","940","44340","37890"
"In post","2021","Declared non-disabled","Medicine","Public Health England","210","170","99870","98440"
"In post","2021","Declared non-disabled","Medicine","Welsh Government (excl. agencies)","150","140","45500","43760"
"In post","2021","Declared non-disabled","Operational Delivery","Advisory, Conciliation and Arbitration Service","180","170","31290","30950"
"In post","2021","Declared non-disabled","Operational Delivery","Animal and Plant Health Agency","1160","1100","27310","25100"
"In post","2021","Declared non-disabled","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Charity Commission","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Companies House","310","280","25430","22490"
"In post","2021","Declared non-disabled","Operational Delivery","Criminal Injuries Compensation Authority","150","140","26970","22710"
"In post","2021","Declared non-disabled","Operational Delivery","Crown Commercial Service","60","60","45430","39580"
"In post","2021","Declared non-disabled","Operational Delivery","Crown Office and Procurator Fiscal Service","1150","1060","26400","22220"
"In post","2021","Declared non-disabled","Operational Delivery","Crown Prosecution Service","2070","1900","28240","27050"
"In post","2021","Declared non-disabled","Operational Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Defence Science and Technology Laboratory","270","250","39010","37320"
"In post","2021","Declared non-disabled","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","350","340","45710","41330"
"In post","2021","Declared non-disabled","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Department for Education (excl. agencies)","420","410","42910","36960"
"In post","2021","Declared non-disabled","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","39470","37890"
"In post","2021","Declared non-disabled","Operational Delivery","Department for International Trade","70","60","36420","32120"
"In post","2021","Declared non-disabled","Operational Delivery","Department for Transport (excl. agencies)","50","50","40900","37660"
"In post","2021","Declared non-disabled","Operational Delivery","Department of Health and Social Care (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Driver and Vehicle Licensing Agency","3070","2640","22070","21590"
"In post","2021","Declared non-disabled","Operational Delivery","Driver and Vehicle Standards Agency","2690","2500","28800","26780"
"In post","2021","Declared non-disabled","Operational Delivery","Education and Skills Funding Agency","540","520","42660","37100"
"In post","2021","Declared non-disabled","Operational Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Food Standards Agency","440","420","31620","27680"
"In post","2021","Declared non-disabled","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","390","370","33990","28560"
"In post","2021","Declared non-disabled","Operational Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Health and Safety Executive","1360","1280","44570","43310"
"In post","2021","Declared non-disabled","Operational Delivery","HM Courts and Tribunals Service","10150","9040","22700","20650"
"In post","2021","Declared non-disabled","Operational Delivery","HM Land Registry","2950","2570","30370","27130"
"In post","2021","Declared non-disabled","Operational Delivery","HM Prison and Probation Service","33090","31280","29750","28200"
"In post","2021","Declared non-disabled","Operational Delivery","HM Revenue and Customs (excl. agencies)","14660","13000","26490","25560"
"In post","2021","Declared non-disabled","Operational Delivery","HM Treasury (excl. agencies)","120","110","31610","28680"
"In post","2021","Declared non-disabled","Operational Delivery","Home Office (incl. agencies)","20390","18630","27970","25630"
"In post","2021","Declared non-disabled","Operational Delivery","Insolvency Service","700","660","30360","26290"
"In post","2021","Declared non-disabled","Operational Delivery","Institute for Apprenticeships and Technical Education","130","130","48780","50260"
"In post","2021","Declared non-disabled","Operational Delivery","Legal Aid Agency","670","630","25410","21850"
"In post","2021","Declared non-disabled","Operational Delivery","Maritime and Coastguard Agency","510","490","39030","35860"
"In post","2021","Declared non-disabled","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Met Office","210","200","41280","39710"
"In post","2021","Declared non-disabled","Operational Delivery","Ministry of Defence (excl. agencies)","460","440","28800","26670"
"In post","2021","Declared non-disabled","Operational Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","340","320","37920","34660"
"In post","2021","Declared non-disabled","Operational Delivery","Ministry of Justice (excl. agencies)","900","880","36000","31880"
"In post","2021","Declared non-disabled","Operational Delivery","National Crime Agency","1470","1440","42970","40210"
"In post","2021","Declared non-disabled","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
