"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Security","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Security","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","No function","AA/AO","60","50","22480","23230"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Legal","AA/AO","140","120","22130","22200"
"Leaver CS","2022","Crown Prosecution Service","Legal","EO","40","40","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Legal","G6/G7","160","140","57310","55610"
"Leaver CS","2022","Crown Prosecution Service","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Legal","SEO/HEO","50","40","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","No function","EO","110","100","20830","20200"
"Leaver CS","2022","Defence Equipment and Support","No function","G6/G7","40","30","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","No function","SEO/HEO","150","140","35740","35300"
"Leaver CS","2022","Defence Equipment and Support","Project Delivery","EO","180","170","22190","21620"
"Leaver CS","2022","Defence Equipment and Support","Project Delivery","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Project Delivery","SEO/HEO","290","280","35140","34000"
"Leaver CS","2022","Defence Equipment and Support","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","No function","AA/AO","40","40","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","No function","G6/G7","60","50","52630","48660"
"Leaver CS","2022","Defence Science and Technology Laboratory","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","No function","SEO/HEO","90","90","32660","29230"
