"Status","Year","Profession_of_post","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Operational Delivery","Ministry of Justice","Unknown","6410","6000","26000","24090"
"New entrant CS","2022","Operational Delivery","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","National Crime Agency","Unknown","380","370","36080","34140"
"New entrant CS","2022","Operational Delivery","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of Gas and Electricity Markets","Declared non-disabled","80","80","26470","25000"
"New entrant CS","2022","Operational Delivery","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of the Secretary of State for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of the Secretary of State for Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Scottish Government","Declared disabled","50","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Scottish Government","Declared non-disabled","500","480","22690","21050"
"New entrant CS","2022","Operational Delivery","Scottish Government","Unknown","390","380","22680","21640"
"New entrant CS","2022","Operational Delivery","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","The National Archives","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","UK Export Finance","Declared non-disabled","60","60","40680","39000"
"New entrant CS","2022","Operational Delivery","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","UK Statistics Authority","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","UK Statistics Authority","Declared non-disabled","210","180","25230","19860"
"New entrant CS","2022","Operational Delivery","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","UK Statistics Authority","Unknown","200","160","23810","19860"
"New entrant CS","2022","Operational Delivery","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Welsh Government","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Welsh Government","Declared non-disabled","50","50","27100","22960"
"New entrant CS","2022","Operational Delivery","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Levelling Up, Housing and Communities","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Levelling Up, Housing and Communities","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Work and Pensions","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","HM Revenue and Customs","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Home Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Ministry of Defence","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Operational Research","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Ministry of Justice","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","UK Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","UK Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Attorney General's Departments","Declared non-disabled","90","90","27840","26950"
"New entrant CS","2022","Other","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Environment, Food and Rural Affairs","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Levelling Up, Housing and Communities","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Levelling Up, Housing and Communities","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Work and Pensions","Declared disabled","90","90","23620","21260"
"New entrant CS","2022","Other","Department for Work and Pensions","Declared non-disabled","490","480","22880","21260"
"New entrant CS","2022","Other","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department for Work and Pensions","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Other","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Department of Health and Social Care","Declared non-disabled","[c]","[c]","[c]","[c]"
