"Status","Year","Sexual_orientation","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","No function","440","430","39120","34260"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Project Delivery","40","40","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Property","70","70","40850","36510"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","No function","610","590","41360","39840"
"In post","2022","Unknown","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Records of Scotland","Unknown","210","200","33170","27230"
"In post","2022","Unknown","National Savings and Investments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","No function","40","40","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Budget Responsibility","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","No function","70","70","41060","39850"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Analysis","50","40","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Legal","40","40","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","No function","300","300","45260","38550"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","No function","50","40","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","No function","60","50","59840","60020"
"In post","2022","Unknown","Office of Rail and Road","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","No function","260","240","22220","20970"
"In post","2022","Unknown","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","No function","160","140","36820","27860"
"In post","2022","Unknown","Queen Elizabeth II Centre","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Queen Elizabeth II Centre","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Queen Elizabeth II Centre","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Queen Elizabeth II Centre","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Queen Elizabeth II Centre","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Queen Elizabeth II Centre","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Queen Elizabeth II Centre","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Queen Elizabeth II Centre","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","No function","340","310","30410","30840"
"In post","2022","Unknown","Registers of Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Registers of Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Revenue Scotland","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Royal Fleet Auxiliary","Unknown","1760","1760","37450","34160"
"In post","2022","Unknown","Rural Payments Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Rural Payments Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Rural Payments Agency","Grants Management","1120","1040","24300","21300"
"In post","2022","Unknown","Rural Payments Agency","Project Delivery","40","40","[c]","[c]"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Digital, Data & Technology","60","60","37300","32000"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","No function","1270","1140","26700","23780"
"In post","2022","Unknown","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Forestry","Unknown","100","100","35340","36390"
"In post","2022","Unknown","Scottish Government (excl. agencies)","Unknown","2250","2140","42120","36370"
"In post","2022","Unknown","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Prison Service","Commercial","50","50","28310","26900"
"In post","2022","Unknown","Scottish Prison Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Prison Service","Finance","50","40","[c]","[c]"
"In post","2022","Unknown","Scottish Prison Service","Human Resources","50","50","33220","35000"
"In post","2022","Unknown","Scottish Prison Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Prison Service","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Prison Service","No function","2540","2390","31300","34880"
"In post","2022","Unknown","Scottish Prison Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Prison Service","Property","160","160","30730","29900"
"In post","2022","Unknown","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Public Pensions Agency","Unknown","160","140","29070","25930"
"In post","2022","Unknown","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Serious Fraud Office","Counter Fraud","50","50","[c]","[c]"
"In post","2022","Unknown","Serious Fraud Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Serious Fraud Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Security Scotland","Unknown","700","680","28460","27230"
"In post","2022","Unknown","Standards and Testing Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Student Awards Agency for Scotland","Unknown","140","130","30270","27230"
"In post","2022","Unknown","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Submarine Delivery Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Submarine Delivery Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Submarine Delivery Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
