"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Unknown","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Department for Work and Pensions (excl. agencies)","300","280","21340","21260"
"Leaver Dept.","2022","AA/AO","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","HM Courts and Tribunals Service","190","180","20870","20970"
"Leaver Dept.","2022","AA/AO","Female","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","HM Prison and Probation Service","110","100","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","HM Revenue and Customs (excl. agencies)","320","290","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Home Office","90","80","22220","21680"
"Leaver Dept.","2022","AA/AO","Female","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Ministry of Defence (excl. agencies)","80","70","21760","21170"
"Leaver Dept.","2022","AA/AO","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Office of the Public Guardian","40","40","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Public Health England","590","500","21410","21570"
"Leaver Dept.","2022","AA/AO","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Department for Work and Pensions (excl. agencies)","210","200","21390","21260"
"Leaver Dept.","2022","AA/AO","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","HM Courts and Tribunals Service","110","110","20730","20970"
"Leaver Dept.","2022","AA/AO","Male","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","HM Prison and Probation Service","110","110","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","HM Revenue and Customs (excl. agencies)","250","250","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Home Office","80","80","22010","21680"
"Leaver Dept.","2022","AA/AO","Male","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Ministry of Defence (excl. agencies)","50","50","22310","21170"
"Leaver Dept.","2022","AA/AO","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Office of the Public Guardian","30","30","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Public Health England","230","200","21280","20480"
"Leaver Dept.","2022","AA/AO","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Cabinet Office (excl. agencies)","100","100","27420","27500"
"Leaver Dept.","2022","EO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Defence Equipment and Support","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for Education (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Department for Work and Pensions (excl. agencies)","1130","1090","28190","27570"
"Leaver Dept.","2022","EO","Female","Department of Health and Social Care (excl. agencies)","120","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","HM Courts and Tribunals Service","70","70","25130","25120"
"Leaver Dept.","2022","EO","Female","HM Prison and Probation Service","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Female","HM Revenue and Customs (excl. agencies)","140","130","[c]","[c]"
"Leaver Dept.","2022","EO","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Home Office","280","270","26390","25040"
"Leaver Dept.","2022","EO","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Met Office","[c]","[c]","[c]","[c]"
