"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","SEO/HEO","UK Statistics Authority","60","60","33120","32540"
"Leaver CS","2022","Unknown","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Prison and Probation Service","570","500","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Royal Fleet Auxiliary","240","240","36010","33270"
"Leaver CS","2022","Unknown","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","UK Space Agency","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Department for Work and Pensions (excl. agencies)","200","190","21250","21010"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","HM Courts and Tribunals Service","150","140","19960","19930"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","HM Prison and Probation Service","130","130","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Home Office (incl. agencies)","130","120","21850","21010"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Ministry of Defence (excl. agencies)","60","60","21220","20920"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Cabinet Office (excl. agencies)","70","70","27200","27500"
"Leaver Dept.","2021","Heterosexual / straight","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Defence Equipment and Support","70","60","22130","21000"
"Leaver Dept.","2021","Heterosexual / straight","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department for Work and Pensions (excl. agencies)","420","400","28080","27570"
"Leaver Dept.","2021","Heterosexual / straight","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","HM Courts and Tribunals Service","70","60","23520","22570"
"Leaver Dept.","2021","Heterosexual / straight","EO","HM Prison and Probation Service","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Home Office (incl. agencies)","300","270","26310","25130"
"Leaver Dept.","2021","Heterosexual / straight","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Cabinet Office (excl. agencies)","180","170","57620","56340"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Defence Equipment and Support","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","120","56240","53600"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Department for Education (excl. agencies)","40","40","[c]","[c]"
