"Status","Year","Profession_of_post","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Operational Delivery","60-64","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Department for Work and Pensions (excl. agencies)","930","640","25220","26120"
"Leaver CS","2022","Operational Delivery","65+","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Driver and Vehicle Licensing Agency","30","20","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Driver and Vehicle Standards Agency","90","70","28040","26830"
"Leaver CS","2022","Operational Delivery","65+","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","HM Courts and Tribunals Service","250","180","22510","20970"
"Leaver CS","2022","Operational Delivery","65+","HM Land Registry","40","20","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","HM Prison and Probation Service","460","330","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Home Office","200","130","26330","25630"
"Leaver CS","2022","Operational Delivery","65+","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","UK Statistics Authority","70","40","21440","20100"
"Leaver CS","2022","Operational Delivery","65+","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","65+","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","30-39","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","30-39","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","40-49","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","50-59","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","50-59","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","50-59","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","60-64","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","65+","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","16-19","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","16-19","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","16-19","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Defence Equipment and Support","70","70","19690","19460"
"Leaver CS","2022","Other","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Department for Work and Pensions (excl. agencies)","130","130","24320","21260"
"Leaver CS","2022","Other","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Home Office","60","60","26960","25630"
"Leaver CS","2022","Other","20-29","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Ministry of Defence (excl. agencies)","90","90","21990","21170"
"Leaver CS","2022","Other","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"Leaver CS","2022","Other","20-29","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Royal Fleet Auxiliary","60","60","28110","28980"
"Leaver CS","2022","Other","20-29","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","20-29","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Defence Equipment and Support","30","30","[c]","[c]"
"Leaver CS","2022","Other","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Department for Work and Pensions (excl. agencies)","80","80","26760","27570"
"Leaver CS","2022","Other","30-39","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Ministry of Defence (excl. agencies)","110","100","25430","21170"
"Leaver CS","2022","Other","30-39","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Royal Fleet Auxiliary","60","60","34070","32700"
"Leaver CS","2022","Other","30-39","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","30-39","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Department for Work and Pensions (excl. agencies)","50","50","26430","21260"
"Leaver CS","2022","Other","40-49","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Ministry of Defence (excl. agencies)","130","120","27080","21380"
"Leaver CS","2022","Other","40-49","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","40-49","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","50-59","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","50-59","Defence Equipment and Support","50","50","32900","27050"
"Leaver CS","2022","Other","50-59","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
