"Status","Year","Ethnicity","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Declared non-disabled","Department for Transport","500","470","33380","29730"
"In post","2022","Undeclared","Declared non-disabled","Department for Work and Pensions","2900","2540","28410","27570"
"In post","2022","Undeclared","Declared non-disabled","Department of Health and Social Care","70","70","39590","36690"
"In post","2022","Undeclared","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Foreign, Commonwealth and Development Office","140","140","48460","43960"
"In post","2022","Undeclared","Declared non-disabled","HM Land Registry","90","70","33830","33840"
"In post","2022","Undeclared","Declared non-disabled","HM Revenue and Customs","740","670","35440","33370"
"In post","2022","Undeclared","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Home Office","880","810","33430","28990"
"In post","2022","Undeclared","Declared non-disabled","Ministry of Defence","1300","1260","37650","38070"
"In post","2022","Undeclared","Declared non-disabled","Ministry of Justice","940","880","31220","28310"
"In post","2022","Undeclared","Declared non-disabled","National Crime Agency","60","60","41860","41640"
"In post","2022","Undeclared","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Scottish Government","180","170","42210","37710"
"In post","2022","Undeclared","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Welsh Government","110","100","42550","38160"
"In post","2022","Undeclared","Undeclared","Attorney General's Departments","40","40","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Cabinet Office","90","90","43990","40580"
"In post","2022","Undeclared","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Department for Business, Energy and Industrial Strategy","160","160","47650","48940"
"In post","2022","Undeclared","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Department for Education","80","80","46470","44890"
"In post","2022","Undeclared","Undeclared","Department for Environment, Food and Rural Affairs","190","180","37180","35060"
"In post","2022","Undeclared","Undeclared","Department for Levelling Up, Housing and Communities","60","60","45720","46120"
"In post","2022","Undeclared","Undeclared","Department for Transport","370","350","36490","31860"
"In post","2022","Undeclared","Undeclared","Department for Work and Pensions","790","750","31410","27570"
"In post","2022","Undeclared","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Foreign, Commonwealth and Development Office","150","140","49120","44640"
"In post","2022","Undeclared","Undeclared","HM Land Registry","120","110","34550","33840"
"In post","2022","Undeclared","Undeclared","HM Revenue and Customs","1570","1450","37510","33370"
"In post","2022","Undeclared","Undeclared","HM Treasury","60","60","48190","49500"
"In post","2022","Undeclared","Undeclared","Home Office","880","820","34350","30820"
"In post","2022","Undeclared","Undeclared","Ministry of Defence","1280","1250","36390","34070"
"In post","2022","Undeclared","Undeclared","Ministry of Justice","960","910","32080","30450"
"In post","2022","Undeclared","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Scottish Government","80","70","43950","37710"
"In post","2022","Undeclared","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Welsh Government","90","90","45000","47470"
"In post","2022","Undeclared","Unknown","Attorney General's Departments","30","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Business, Energy and Industrial Strategy","100","90","37790","34500"
"In post","2022","Undeclared","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Education","40","40","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for International Trade","70","70","52520","52400"
"In post","2022","Undeclared","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Transport","110","110","30360","26840"
"In post","2022","Undeclared","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department of Health and Social Care","340","310","47630","41470"
"In post","2022","Undeclared","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","HM Revenue and Customs","340","320","34290","33370"
"In post","2022","Undeclared","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Ministry of Defence","220","210","38640","35300"
"In post","2022","Undeclared","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","National Crime Agency","130","130","38320","36410"
"In post","2022","Undeclared","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scottish Government","370","330","36530","35000"
"In post","2022","Undeclared","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","UK Statistics Authority","30","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Welsh Government","40","30","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Attorney General's Departments","40","30","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Department for Transport","30","30","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Department for Work and Pensions","180","160","28120","27570"
"In post","2022","Unknown","Declared disabled","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","HM Land Registry","40","30","[c]","[c]"
"In post","2022","Unknown","Declared disabled","HM Revenue and Customs","210","180","31110","26820"
"In post","2022","Unknown","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Home Office","50","50","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Ministry of Defence","150","140","35710","33000"
"In post","2022","Unknown","Declared disabled","Ministry of Justice","150","140","29910","28140"
"In post","2022","Unknown","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Scottish Government","200","180","33560","35000"
"In post","2022","Unknown","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","UK Statistics Authority","30","20","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Attorney General's Departments","320","290","44580","44720"
"In post","2022","Unknown","Declared non-disabled","Cabinet Office","130","120","63300","56340"
"In post","2022","Unknown","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Department for Business, Energy and Industrial Strategy","450","410","39060","39250"
"In post","2022","Unknown","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Department for Education","200","190","44350","42580"
"In post","2022","Unknown","Declared non-disabled","Department for Environment, Food and Rural Affairs","1000","950","26080","21300"
"In post","2022","Unknown","Declared non-disabled","Department for International Trade","130","130","44170","38950"
"In post","2022","Unknown","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Department for Transport","160","140","34600","26840"
"In post","2022","Unknown","Declared non-disabled","Department for Work and Pensions","2680","2360","28470","27570"
"In post","2022","Unknown","Declared non-disabled","Department of Health and Social Care","60","60","49110","40070"
"In post","2022","Unknown","Declared non-disabled","Food Standards Agency","70","60","38640","37350"
"In post","2022","Unknown","Declared non-disabled","Foreign, Commonwealth and Development Office","90","80","47910","51500"
"In post","2022","Unknown","Declared non-disabled","HM Land Registry","250","230","29750","27130"
"In post","2022","Unknown","Declared non-disabled","HM Revenue and Customs","540","470","32790","28920"
"In post","2022","Unknown","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Home Office","50","40","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Ministry of Defence","1200","1170","33800","31470"
"In post","2022","Unknown","Declared non-disabled","Ministry of Justice","1240","1140","30390","28550"
"In post","2022","Unknown","Declared non-disabled","National Crime Agency","50","50","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Office of Gas and Electricity Markets","90","80","44680","35400"
