"Status","Year","Disability","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","United Kingdom Statistics Authority","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","Department for Education","50","50","44430","49860"
"New entrant CS","2021","Unknown","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","HM Revenue and Customs","70","60","31680","27880"
"New entrant CS","2021","Unknown","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Psychology","Ministry of Justice","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Psychology","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Ministry of Defence","140","140","24820","20500"
"New entrant CS","2021","Unknown","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Ministry of Defence","230","230","27280","23540"
"New entrant CS","2021","Unknown","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Ministry of Justice","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Social Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Social Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Social Research","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Social Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Social Research","United Kingdom Statistics Authority","80","80","31900","29540"
"New entrant CS","2021","Unknown","Social Research","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","United Kingdom Statistics Authority","90","80","32940","32540"
"New entrant CS","2021","Unknown","Statistics","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Tax","HM Revenue and Customs","2140","2090","22290","20140"
"New entrant CS","2021","Unknown","Unknown","Cabinet Office","1050","1050","40880","28000"
"New entrant CS","2021","Unknown","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Work and Pensions","1880","1840","27640","27570"
"New entrant CS","2021","Unknown","Unknown","Department of Health and Social Care","70","70","43990","40450"
"New entrant CS","2021","Unknown","Unknown","HM Revenue and Customs","660","650","27360","20140"
"New entrant CS","2021","Unknown","Unknown","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Scottish Government","720","690","35400","30650"
"New entrant CS","2021","Unknown","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
