"Status","Year","Organisation","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","ESTYN","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Female","AA/AO","50","50","[c]","[c]"
"In post","2021","FCDO Services","Female","EO","80","80","27680","26590"
"In post","2021","FCDO Services","Female","G6/G7","60","50","63490","58890"
"In post","2021","FCDO Services","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Female","SEO/HEO","110","100","39240","40330"
"In post","2021","FCDO Services","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Male","AA/AO","90","90","25630","23340"
"In post","2021","FCDO Services","Male","EO","130","130","28670","27280"
"In post","2021","FCDO Services","Male","G6/G7","170","150","61950","59740"
"In post","2021","FCDO Services","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Male","SEO/HEO","350","340","40800","41010"
"In post","2021","FCDO Services","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","EO","90","80","27140","26750"
"In post","2021","Food Standards Agency","Female","G6/G7","110","100","56420","55300"
"In post","2021","Food Standards Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","SEO/HEO","320","310","36010","37350"
"In post","2021","Food Standards Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","EO","350","330","27320","26750"
"In post","2021","Food Standards Agency","Male","G6/G7","110","110","56350","56130"
"In post","2021","Food Standards Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","SEO/HEO","310","300","36000","37350"
"In post","2021","Food Standards Scotland","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Female","SEO/HEO","70","70","35710","33620"
"In post","2021","Food Standards Scotland","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Male","EO","60","60","28870","29190"
"In post","2021","Food Standards Scotland","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Male","SEO/HEO","60","60","37260","35110"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","AA/AO","260","250","25750","24750"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","EO","450","440","29910","30300"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","G6/G7","1510","1460","58810","57910"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","SCS","230","230","84530","77970"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","SEO/HEO","1390","1360","37550","37560"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","AA/AO","180","180","25910","25430"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","EO","280","270","29930","30300"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","G6/G7","1530","1520","59950","58470"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","SCS","320","320","87260","78020"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","SEO/HEO","1320","1310","37580","36460"
"In post","2021","Forestry and Land Scotland","Female","AA/AO","130","120","23730","22920"
"In post","2021","Forestry and Land Scotland","Female","EO","100","90","30470","30160"
"In post","2021","Forestry and Land Scotland","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Female","SEO/HEO","80","80","39300","37530"
"In post","2021","Forestry and Land Scotland","Male","AA/AO","340","330","25390","26530"
"In post","2021","Forestry and Land Scotland","Male","EO","160","160","32040","30160"
"In post","2021","Forestry and Land Scotland","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Male","SEO/HEO","140","130","40450","38450"
"In post","2021","Government Actuary's Department","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Female","G6/G7","50","40","[c]","[c]"
"In post","2021","Government Actuary's Department","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Male","G6/G7","70","60","91910","89720"
"In post","2021","Government Actuary's Department","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Male","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Female","G6/G7","70","70","57400","55230"
"In post","2021","Government Internal Audit Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Female","SEO/HEO","140","130","39500","39980"
"In post","2021","Government Internal Audit Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Male","G6/G7","100","90","57650","56620"
"In post","2021","Government Internal Audit Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Male","SEO/HEO","110","110","42050","42900"
"In post","2021","Government Legal Department","Female","AA/AO","40","30","[c]","[c]"
"In post","2021","Government Legal Department","Female","EO","210","200","28450","27580"
"In post","2021","Government Legal Department","Female","G6/G7","1120","990","59250","57520"
"In post","2021","Government Legal Department","Female","SCS","120","110","83540","78980"
"In post","2021","Government Legal Department","Female","SEO/HEO","150","140","38040","38390"
"In post","2021","Government Legal Department","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Male","EO","120","120","28730","27580"
"In post","2021","Government Legal Department","Male","G6/G7","560","550","60650","63730"
"In post","2021","Government Legal Department","Male","SCS","90","80","84220","80710"
"In post","2021","Government Legal Department","Male","SEO/HEO","100","100","37990","38590"
"In post","2021","Government Property Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Female","G6/G7","40","40","[c]","[c]"
"In post","2021","Government Property Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Female","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Government Property Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Male","G6/G7","60","60","57290","55000"
"In post","2021","Government Property Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Male","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Health and Safety Executive","Female","AA/AO","200","170","22140","22160"
"In post","2021","Health and Safety Executive","Female","EO","280","260","28150","28210"
"In post","2021","Health and Safety Executive","Female","G6/G7","200","190","58500","56350"
"In post","2021","Health and Safety Executive","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Female","SEO/HEO","600","550","40680","40230"
"In post","2021","Health and Safety Executive","Male","AA/AO","90","80","21960","22160"
"In post","2021","Health and Safety Executive","Male","EO","160","160","27690","26680"
"In post","2021","Health and Safety Executive","Male","G6/G7","320","310","62550","59580"
"In post","2021","Health and Safety Executive","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Male","SEO/HEO","690","670","48430","45100"
"In post","2021","HM Courts and Tribunals Service","Female","AA/AO","7460","6330","19980","19930"
"In post","2021","HM Courts and Tribunals Service","Female","EO","1940","1790","24010","23700"
"In post","2021","HM Courts and Tribunals Service","Female","G6/G7","400","390","55390","53520"
"In post","2021","HM Courts and Tribunals Service","Female","SCS","40","40","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Female","SEO/HEO","1880","1750","34200","32350"
"In post","2021","HM Courts and Tribunals Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Male","AA/AO","3020","2880","19980","19930"
"In post","2021","HM Courts and Tribunals Service","Male","EO","710","700","24210","23730"
"In post","2021","HM Courts and Tribunals Service","Male","G6/G7","270","260","56390","55720"
"In post","2021","HM Courts and Tribunals Service","Male","SCS","30","30","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Male","SEO/HEO","840","820","34470","31970"
"In post","2021","HM Courts and Tribunals Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Female","AA/AO","1140","1060","22470","22350"
"In post","2021","HM Land Registry","Female","EO","1460","1220","27380","27130"
"In post","2021","HM Land Registry","Female","G6/G7","170","150","62370","60520"
"In post","2021","HM Land Registry","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Female","SEO/HEO","1040","920","36760","33840"
"In post","2021","HM Land Registry","Male","AA/AO","710","690","22460","22350"
"In post","2021","HM Land Registry","Male","EO","700","660","27750","27130"
"In post","2021","HM Land Registry","Male","G6/G7","130","130","62840","60520"
"In post","2021","HM Land Registry","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Male","SEO/HEO","980","910","38100","38450"
"In post","2021","HM Prison and Probation Service","Female","AA/AO","11680","10820","24900","23700"
"In post","2021","HM Prison and Probation Service","Female","EO","2400","2290","29630","28400"
"In post","2021","HM Prison and Probation Service","Female","G6/G7","400","390","71100","69050"
"In post","2021","HM Prison and Probation Service","Female","SCS","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","SEO/HEO","3120","2990","39570","37850"
"In post","2021","HM Prison and Probation Service","Female","Unknown","9340","8530","29670","28200"
"In post","2021","HM Prison and Probation Service","Male","AA/AO","16730","16050","27350","26810"
"In post","2021","HM Prison and Probation Service","Male","EO","3840","3680","31930","33520"
"In post","2021","HM Prison and Probation Service","Male","G6/G7","380","370","75230","72130"
"In post","2021","HM Prison and Probation Service","Male","SCS","50","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","SEO/HEO","3340","3180","42390","38160"
"In post","2021","HM Prison and Probation Service","Male","Unknown","2750","2640","30820","30210"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","AA/AO","12270","9960","20840","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","EO","7830","6960","26480","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","G6/G7","3240","3080","56760","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","SCS","230","230","84700","78090"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","SEO/HEO","9660","9050","34560","31870"
"In post","2021","HM Revenue and Customs (excl. agencies)","Male","AA/AO","8490","8010","20600","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","Male","EO","6850","6590","26330","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Male","G6/G7","4070","3950","57580","53150"
"In post","2021","HM Revenue and Customs (excl. agencies)","Male","SCS","250","250","86490","79930"
"In post","2021","HM Revenue and Customs (excl. agencies)","Male","SEO/HEO","10050","9730","34890","32100"
"In post","2021","HM Treasury (excl. agencies)","Female","AA/AO","40","30","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Female","EO","130","130","27130","26780"
"In post","2021","HM Treasury (excl. agencies)","Female","G6/G7","380","360","58370","56750"
"In post","2021","HM Treasury (excl. agencies)","Female","SCS","80","70","82040","76610"
