"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Foreign and Commonwealth Office (excl. agencies)","70","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Foreign, Commonwealth and Development Office (excl. agencies)","170","40","[c]","[c]"
"Leaver Dept.","2021","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Government Legal Department","90","80","45810","50500"
"Leaver Dept.","2021","London","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","HM Courts and Tribunals Service","110","110","32860","26410"
"Leaver Dept.","2021","London","HM Prison and Probation Service","100","100","[c]","[c]"
"Leaver Dept.","2021","London","HM Revenue and Customs (excl. agencies)","370","360","[c]","[c]"
"Leaver Dept.","2021","London","HM Treasury (excl. agencies)","120","120","[c]","[c]"
"Leaver Dept.","2021","London","Home Office (incl. agencies)","590","570","43720","39290"
"Leaver Dept.","2021","London","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Ministry of Defence (excl. agencies)","140","140","47060","45200"
"Leaver Dept.","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","310","310","41410","34950"
"Leaver Dept.","2021","London","Ministry of Justice (excl. agencies)","290","290","43570","36800"
"Leaver Dept.","2021","London","National Crime Agency","40","40","[c]","[c]"
"Leaver Dept.","2021","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"Leaver Dept.","2021","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Public Health England","30","30","[c]","[c]"
"Leaver Dept.","2021","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","UK Space Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Department for Work and Pensions (excl. agencies)","200","190","27100","27570"
"Leaver Dept.","2021","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","HM Revenue and Customs (excl. agencies)","210","200","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Home Office (incl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Department for Work and Pensions (excl. agencies)","240","230","28950","27570"
"Leaver Dept.","2021","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","HM Courts and Tribunals Service","30","30","[c]","[c]"
"Leaver Dept.","2021","North West (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","HM Revenue and Customs (excl. agencies)","350","340","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Home Office (incl. agencies)","180","160","26800","24880"
"Leaver Dept.","2021","North West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Department for International Trade","40","40","[c]","[c]"
"Leaver Dept.","2021","Overseas","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Department for Work and Pensions (excl. agencies)","150","140","25960","27570"
"Leaver Dept.","2021","Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","HM Revenue and Customs (excl. agencies)","200","200","[c]","[c]"
"Leaver Dept.","2021","Scotland","Home Office (incl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Scotland","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Department for Work and Pensions (excl. agencies)","60","50","28210","27570"
"Leaver Dept.","2021","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
