"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","EO","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Cabinet Office","40","30","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Department for Environment, Food and Rural Affairs","70","60","27870","27810"
"Leaver Dept.","2021","EO","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Department for Work and Pensions","80","80","28270","27570"
"Leaver Dept.","2021","EO","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","HM Revenue and Customs","110","110","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Cabinet Office","60","60","26940","27500"
"Leaver Dept.","2021","EO","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"Leaver Dept.","2021","EO","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Department for Transport","40","30","[c]","[c]"
"Leaver Dept.","2021","EO","White","Department for Work and Pensions","410","390","27740","27570"
"Leaver Dept.","2021","EO","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","HM Revenue and Customs","180","170","[c]","[c]"
"Leaver Dept.","2021","EO","White","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Home Office","240","220","25930","24890"
"Leaver Dept.","2021","EO","White","Ministry of Defence","120","120","24570","25720"
"Leaver Dept.","2021","EO","White","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Ministry of Justice","140","140","23840","22570"
"Leaver Dept.","2021","EO","White","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","White","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
