"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","Crown Prosecution Service","50-59","50","50","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Debt Management Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Debt Management Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Electronics and Components Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Electronics and Components Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Electronics and Components Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Electronics and Components Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","20-29","40","40","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","30-39","50","50","35180","31910"
"In post","2021","Human Resources","Defence Equipment and Support","40-49","50","50","46010","39930"
"In post","2021","Human Resources","Defence Equipment and Support","50-59","50","50","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","20-29","40","40","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","30-39","30","30","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","40-49","30","30","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","60","50","40800","36970"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","100","90","43050","38060"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","80","80","47270","48370"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","20-29","50","50","38830","32120"
"In post","2021","Human Resources","Department for International Trade","30-39","30","30","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","30-39","40","40","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care (excl. agencies)","20-29","70","70","33480","28970"
"In post","2021","Human Resources","Department of Health and Social Care (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Licensing Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Licensing Agency","30-39","50","40","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Licensing Agency","40-49","50","50","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Licensing Agency","50-59","40","40","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Licensing Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Licensing Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","50-59","30","30","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","20-29","50","50","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","40","40","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","40-49","70","60","44460","39420"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","50-59","70","70","49470","48220"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Forestry and Land Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Actuary's Department","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Actuary's Department","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Actuary's Department","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Actuary's Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","50-59","40","30","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","40-49","30","30","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","40-49","40","30","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","30-39","40","30","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","50-59","50","50","53250","51150"
"In post","2021","Human Resources","HM Prison and Probation Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","20-29","150","150","32140","31810"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","30-39","320","310","34060","31810"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","40-49","390","360","37810","31810"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","50-59","550","520","36700","31810"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","60-64","120","90","31110","28130"
