"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Mixed","20-29","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","30-39","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","40-49","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
