"Status","Year","Responsibility_level","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Heterosexual / straight","Water Services Regulation Authority","30","30","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","Welsh Government","810","780","61620","60830"
"In post","2021","G6/G7","LGBO","Attorney General's Departments","200","190","59600","56300"
"In post","2021","G6/G7","LGBO","Cabinet Office","170","160","58020","56340"
"In post","2021","G6/G7","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Department for Business, Energy and Industrial Strategy","220","220","57870","56280"
"In post","2021","G6/G7","LGBO","Department for Digital, Culture, Media and Sport","80","80","58660","58750"
"In post","2021","G6/G7","LGBO","Department for Education","140","130","56360","54160"
"In post","2021","G6/G7","LGBO","Department for Environment, Food and Rural Affairs","110","100","53850","53200"
"In post","2021","G6/G7","LGBO","Department for International Trade","80","80","54630","51970"
"In post","2021","G6/G7","LGBO","Department for Transport","100","100","57600","54760"
"In post","2021","G6/G7","LGBO","Department for Work and Pensions","130","120","57290","54770"
"In post","2021","G6/G7","LGBO","Department of Health and Social Care","140","130","58930","54410"
"In post","2021","G6/G7","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Foreign, Commonwealth and Development Office","170","170","58840","57340"
"In post","2021","G6/G7","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","HM Revenue and Customs","290","280","57440","53450"
"In post","2021","G6/G7","LGBO","HM Treasury","80","80","56640","53630"
"In post","2021","G6/G7","LGBO","Home Office","140","140","60280","57680"
"In post","2021","G6/G7","LGBO","Ministry of Defence","130","130","56800","55320"
"In post","2021","G6/G7","LGBO","Ministry of Housing, Communities and Local Government","100","100","57040","53870"
"In post","2021","G6/G7","LGBO","Ministry of Justice","160","160","61700","59990"
"In post","2021","G6/G7","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Office for Standards in Education","50","50","[c]","[c]"
"In post","2021","G6/G7","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Scottish Government","120","120","62000","61010"
"In post","2021","G6/G7","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Welsh Government","40","40","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Attorney General's Departments","210","190","59040","55610"
"In post","2021","G6/G7","Undeclared","Cabinet Office","190","190","58830","56680"
"In post","2021","G6/G7","Undeclared","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Department for Business, Energy and Industrial Strategy","340","330","59300","57620"
"In post","2021","G6/G7","Undeclared","Department for Digital, Culture, Media and Sport","50","50","58050","56750"
"In post","2021","G6/G7","Undeclared","Department for Education","210","210","56610","53760"
"In post","2021","G6/G7","Undeclared","Department for Environment, Food and Rural Affairs","190","180","54620","53870"
"In post","2021","G6/G7","Undeclared","Department for International Trade","60","60","54900","51970"
"In post","2021","G6/G7","Undeclared","Department for Transport","220","210","61520","57960"
"In post","2021","G6/G7","Undeclared","Department for Work and Pensions","270","250","59470","57510"
"In post","2021","G6/G7","Undeclared","Department of Health and Social Care","300","280","59390","55210"
"In post","2021","G6/G7","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Foreign, Commonwealth and Development Office","250","240","61440","60720"
"In post","2021","G6/G7","Undeclared","HM Land Registry","40","30","[c]","[c]"
"In post","2021","G6/G7","Undeclared","HM Revenue and Customs","700","670","58450","57130"
"In post","2021","G6/G7","Undeclared","HM Treasury","120","120","58310","56900"
"In post","2021","G6/G7","Undeclared","Home Office","430","420","60980","57740"
"In post","2021","G6/G7","Undeclared","Ministry of Defence","740","720","58160","56350"
"In post","2021","G6/G7","Undeclared","Ministry of Housing, Communities and Local Government","110","100","57110","55050"
"In post","2021","G6/G7","Undeclared","Ministry of Justice","300","290","62260","60240"
"In post","2021","G6/G7","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Scottish Government","210","200","61590","61010"
"In post","2021","G6/G7","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Welsh Government","150","140","61640","60830"
"In post","2021","G6/G7","Unknown","Attorney General's Departments","1190","1070","60560","59930"
"In post","2021","G6/G7","Unknown","Cabinet Office","1030","1010","61310","56340"
"In post","2021","G6/G7","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Department for Business, Energy and Industrial Strategy","920","880","54760","53380"
"In post","2021","G6/G7","Unknown","Department for Digital, Culture, Media and Sport","100","100","58890","57730"
"In post","2021","G6/G7","Unknown","Department for Education","540","520","56580","54160"
"In post","2021","G6/G7","Unknown","Department for Environment, Food and Rural Affairs","450","440","54780","53370"
"In post","2021","G6/G7","Unknown","Department for International Trade","300","300","55570","53080"
"In post","2021","G6/G7","Unknown","Department for Transport","250","240","60290","54850"
"In post","2021","G6/G7","Unknown","Department for Work and Pensions","660","630","57350","55000"
"In post","2021","G6/G7","Unknown","Department of Health and Social Care","1290","1250","58330","53910"
"In post","2021","G6/G7","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Foreign, Commonwealth and Development Office","720","700","57350","55620"
"In post","2021","G6/G7","Unknown","HM Land Registry","70","70","62020","60520"
"In post","2021","G6/G7","Unknown","HM Revenue and Customs","1560","1500","57730","56580"
"In post","2021","G6/G7","Unknown","HM Treasury","100","100","67230","63410"
"In post","2021","G6/G7","Unknown","Home Office","200","200","59780","57430"
"In post","2021","G6/G7","Unknown","Ministry of Defence","750","700","57270","55620"
"In post","2021","G6/G7","Unknown","Ministry of Housing, Communities and Local Government","110","100","58330","58810"
"In post","2021","G6/G7","Unknown","Ministry of Justice","390","380","61480","59080"
"In post","2021","G6/G7","Unknown","National Crime Agency","70","60","62310","60990"
"In post","2021","G6/G7","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Office of Gas and Electricity Markets","240","230","61300","60170"
"In post","2021","G6/G7","Unknown","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2021","G6/G7","Unknown","Office of Rail and Road","70","70","64070","63190"
"In post","2021","G6/G7","Unknown","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","G6/G7","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Scottish Government","740","700","62560","61010"
"In post","2021","G6/G7","Unknown","The National Archives","40","30","[c]","[c]"
"In post","2021","G6/G7","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","United Kingdom Statistics Authority","230","220","53060","50090"
"In post","2021","G6/G7","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Water Services Regulation Authority","30","30","[c]","[c]"
"In post","2021","G6/G7","Unknown","Welsh Government","50","50","62920","60830"
"In post","2021","SCS","Heterosexual / straight","Attorney General's Departments","200","190","89080","82820"
"In post","2021","SCS","Heterosexual / straight","Cabinet Office","400","400","96830","87750"
"In post","2021","SCS","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Competition and Markets Authority","90","90","107200","99920"
"In post","2021","SCS","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","300","290","83320","75500"
"In post","2021","SCS","Heterosexual / straight","Department for Digital, Culture, Media and Sport","100","90","86740","75950"
"In post","2021","SCS","Heterosexual / straight","Department for Education","210","200","82720","74240"
"In post","2021","SCS","Heterosexual / straight","Department for Environment, Food and Rural Affairs","160","160","84270","77370"
"In post","2021","SCS","Heterosexual / straight","Department for International Trade","110","110","86920","76810"
"In post","2021","SCS","Heterosexual / straight","Department for Transport","180","180","89330","80590"
"In post","2021","SCS","Heterosexual / straight","Department for Work and Pensions","200","190","90460","81310"
"In post","2021","SCS","Heterosexual / straight","Department of Health and Social Care","500","450","96870","93000"
"In post","2021","SCS","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Foreign, Commonwealth and Development Office","420","410","86850","78010"
"In post","2021","SCS","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","HM Revenue and Customs","360","350","84380","78760"
"In post","2021","SCS","Heterosexual / straight","HM Treasury","150","140","85300","77720"
"In post","2021","SCS","Heterosexual / straight","Home Office","240","240","91940","83880"
"In post","2021","SCS","Heterosexual / straight","Ministry of Defence","340","330","92810","85720"
"In post","2021","SCS","Heterosexual / straight","Ministry of Housing, Communities and Local Government","120","110","85710","77060"
"In post","2021","SCS","Heterosexual / straight","Ministry of Justice","260","250","90540","86800"
"In post","2021","SCS","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Scottish Government","170","160","89000","83230"
"In post","2021","SCS","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
