"Status","Year","Function_of_post","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Science and Engineering","130","120","47940","47840"
"In post","2021","Digital, Data & Technology","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Unknown","190","180","50930","52580"
"In post","2021","Digital, Data & Technology","60-64","Digital, Data and Technology","570","510","40580","37330"
"In post","2021","Digital, Data & Technology","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","60-64","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","65+","Digital, Data and Technology","170","140","39870","35560"
"In post","2021","Digital, Data & Technology","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Finance","40","30","[c]","[c]"
"In post","2021","Finance","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Economics","60","50","35420","32790"
"In post","2021","Finance","20-29","Finance","1000","980","32670","30420"
"In post","2021","Finance","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Operational Delivery","100","100","24300","21380"
"In post","2021","Finance","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Unknown","80","80","35560","35120"
"In post","2021","Finance","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Finance","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Finance","1520","1450","41140","38000"
"In post","2021","Finance","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Operational Delivery","140","130","30600","28500"
"In post","2021","Finance","30-39","Other","30","30","[c]","[c]"
"In post","2021","Finance","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Unknown","80","80","44460","41760"
"In post","2021","Finance","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Finance","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Finance","2020","1940","43070","38960"
"In post","2021","Finance","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Operational Delivery","220","200","31680","27050"
"In post","2021","Finance","40-49","Other","40","40","[c]","[c]"
"In post","2021","Finance","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Unknown","70","70","45100","38520"
"In post","2021","Finance","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Finance","2320","2200","40460","36300"
"In post","2021","Finance","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Operational Delivery","290","260","28930","25560"
"In post","2021","Finance","50-59","Other","50","50","[c]","[c]"
"In post","2021","Finance","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Unknown","80","80","49890","41760"
"In post","2021","Finance","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Finance","510","440","36850","32300"
"In post","2021","Finance","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Operational Delivery","80","70","25640","21440"
"In post","2021","Finance","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Finance","150","130","33000","29200"
"In post","2021","Finance","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Finance","65+","Other","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","20-29","Operational Delivery","240","240","22390","21050"
"In post","2021","Grants Management","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","30-39","Operational Delivery","370","330","24270","21050"
"In post","2021","Grants Management","40-49","Operational Delivery","590","530","25970","24920"
"In post","2021","Grants Management","50-59","Operational Delivery","490","450","27480","25190"
"In post","2021","Grants Management","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","60-64","Operational Delivery","160","140","25220","21050"
"In post","2021","Grants Management","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","65+","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Human Resources","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Human Resources","960","950","31000","28840"
"In post","2021","Human Resources","20-29","Operational Delivery","120","120","26180","25560"
"In post","2021","Human Resources","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Policy","30","30","[c]","[c]"
"In post","2021","Human Resources","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Unknown","280","280","30520","28000"
"In post","2021","Human Resources","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Human Resources","1540","1450","36940","32840"
"In post","2021","Human Resources","30-39","Operational Delivery","210","200","28970","25560"
"In post","2021","Human Resources","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","30-39","Tax","40","30","[c]","[c]"
"In post","2021","Human Resources","30-39","Unknown","380","370","38030","35590"
"In post","2021","Human Resources","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Human Resources","1820","1730","41300","37900"
"In post","2021","Human Resources","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Operational Delivery","220","200","31750","27610"
"In post","2021","Human Resources","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","40-49","Tax","40","40","[c]","[c]"
"In post","2021","Human Resources","40-49","Unknown","330","310","43930","38630"
"In post","2021","Human Resources","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Human Resources","2090","2010","40490","36230"
"In post","2021","Human Resources","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Operational Delivery","300","280","30970","25780"
"In post","2021","Human Resources","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Tax","70","70","38130","33140"
"In post","2021","Human Resources","50-59","Unknown","280","270","45540","38630"
"In post","2021","Human Resources","60-64","Human Resources","400","340","37180","33180"
"In post","2021","Human Resources","60-64","Operational Delivery","80","60","27290","21440"
