"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","G6/G7","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Property Agency","Property","40","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Land Registry","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Prison and Probation Service","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Legal","40","30","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","No function","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Treasury (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","HM Treasury (excl. agencies)","No function","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Home Office","Unknown","160","160","59900","57430"
"New entrant CS","2022","G6/G7","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Institute for Apprenticeships and Technical Education","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Intellectual Property Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Maritime and Coastguard Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Maritime and Coastguard Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Maritime and Coastguard Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Maritime and Coastguard Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Medicines and Healthcare Products Regulatory Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Medicines and Healthcare Products Regulatory Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Met Office","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Met Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Met Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Met Office","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Met Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Defence (excl. agencies)","Unknown","90","70","66580","65750"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Digital, Data & Technology","60","60","57630","58130"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Ministry of Justice (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Infrastructure Commission","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Infrastructure Commission","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Savings and Investments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","National Savings and Investments","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office for Budget Responsibility","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","No function","70","70","72490","70500"
"New entrant CS","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Gas and Electricity Markets","No function","40","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Planning Inspectorate","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Public Health England","No function","50","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Registers of Scotland","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Scottish Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
