"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Black","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
