"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Female","Ministry of Defence","EO","110","100","26100","26670"
"Leaver Dept.","2022","Female","Ministry of Defence","G6/G7","60","60","57270","57480"
"Leaver Dept.","2022","Female","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Ministry of Defence","SEO/HEO","250","250","36320","37000"
"Leaver Dept.","2022","Female","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Ministry of Justice","AA/AO","370","350","20850","20970"
"Leaver Dept.","2022","Female","Ministry of Justice","EO","180","170","25040","25120"
"Leaver Dept.","2022","Female","Ministry of Justice","G6/G7","80","80","57420","55980"
"Leaver Dept.","2022","Female","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Ministry of Justice","SEO/HEO","350","340","36000","36000"
"Leaver Dept.","2022","Female","Ministry of Justice","Unknown","100","100","[c]","[c]"
"Leaver Dept.","2022","Female","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Scotland","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Wales","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Scottish Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","UK Statistics Authority","SEO/HEO","70","70","32890","30710"
"Leaver Dept.","2022","Female","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Attorney General's Departments","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2022","Male","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Cabinet Office","EO","70","70","27160","27500"
"Leaver Dept.","2022","Male","Cabinet Office","G6/G7","220","220","57730","54700"
"Leaver Dept.","2022","Male","Cabinet Office","SCS","50","50","89460","79310"
"Leaver Dept.","2022","Male","Cabinet Office","SEO/HEO","460","460","33390","32000"
"Leaver Dept.","2022","Male","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Business, Energy and Industrial Strategy","EO","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Business, Energy and Industrial Strategy","G6/G7","120","120","56420","53600"
"Leaver Dept.","2022","Male","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Business, Energy and Industrial Strategy","SEO/HEO","170","170","36590","36630"
"Leaver Dept.","2022","Male","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Digital, Culture, Media and Sport","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Digital, Culture, Media and Sport","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Education","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Education","G6/G7","70","70","55670","53760"
"Leaver Dept.","2022","Male","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Education","SEO/HEO","100","100","36170","36780"
"Leaver Dept.","2022","Male","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Environment, Food and Rural Affairs","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Environment, Food and Rural Affairs","SEO/HEO","130","130","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for International Trade","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2022","Male","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for International Trade","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Levelling Up, Housing and Communities","G6/G7","60","60","57440","53130"
"Leaver Dept.","2022","Male","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Levelling Up, Housing and Communities","SEO/HEO","80","80","35100","33210"
"Leaver Dept.","2022","Male","Department for Transport","AA/AO","60","50","22440","21840"
"Leaver Dept.","2022","Male","Department for Transport","EO","70","70","27900","26780"
"Leaver Dept.","2022","Male","Department for Transport","G6/G7","60","60","57340","54760"
"Leaver Dept.","2022","Male","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Transport","SEO/HEO","150","150","37160","35430"
"Leaver Dept.","2022","Male","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Work and Pensions","AA/AO","210","210","21380","21260"
"Leaver Dept.","2022","Male","Department for Work and Pensions","EO","730","730","28180","27570"
"Leaver Dept.","2022","Male","Department for Work and Pensions","G6/G7","70","70","56240","54070"
"Leaver Dept.","2022","Male","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Department for Work and Pensions","SEO/HEO","230","230","35790","35310"
"Leaver Dept.","2022","Male","Department of Health and Social Care","AA/AO","230","200","21280","20480"
"Leaver Dept.","2022","Male","Department of Health and Social Care","EO","290","220","25830","26880"
"Leaver Dept.","2022","Male","Department of Health and Social Care","G6/G7","900","670","59710","55930"
"Leaver Dept.","2022","Male","Department of Health and Social Care","SCS","220","150","108580","107720"
"Leaver Dept.","2022","Male","Department of Health and Social Care","SEO/HEO","1010","770","36260","36330"
"Leaver Dept.","2022","Male","Department of Health and Social Care","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Foreign, Commonwealth and Development Office","G6/G7","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Foreign, Commonwealth and Development Office","SEO/HEO","80","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","HM Revenue and Customs","AA/AO","260","260","[c]","[c]"
"Leaver Dept.","2022","Male","HM Revenue and Customs","EO","120","120","[c]","[c]"
"Leaver Dept.","2022","Male","HM Revenue and Customs","G6/G7","70","70","[c]","[c]"
"Leaver Dept.","2022","Male","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","HM Revenue and Customs","SEO/HEO","160","160","[c]","[c]"
"Leaver Dept.","2022","Male","HM Revenue and Customs","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","HM Treasury","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2022","Male","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","HM Treasury","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Home Office","AA/AO","80","80","22010","21680"
"Leaver Dept.","2022","Male","Home Office","EO","250","250","26330","25220"
"Leaver Dept.","2022","Male","Home Office","G6/G7","100","100","61180","57740"
"Leaver Dept.","2022","Male","Home Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Home Office","SEO/HEO","220","220","36930","35900"
"Leaver Dept.","2022","Male","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Ministry of Defence","AA/AO","50","50","22240","21170"
"Leaver Dept.","2022","Male","Ministry of Defence","EO","120","120","24950","26350"
"Leaver Dept.","2022","Male","Ministry of Defence","G6/G7","80","80","57050","56540"
"Leaver Dept.","2022","Male","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Ministry of Defence","SEO/HEO","310","310","37030","37350"
"Leaver Dept.","2022","Male","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Ministry of Justice","AA/AO","270","270","20800","20970"
"Leaver Dept.","2022","Male","Ministry of Justice","EO","110","110","25690","25120"
"Leaver Dept.","2022","Male","Ministry of Justice","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Ministry of Justice","SEO/HEO","190","190","35830","36050"
"Leaver Dept.","2022","Male","Ministry of Justice","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","Male","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
