"Status","Year","Function_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Project Delivery","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","HM Land Registry","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2021","Project Delivery","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","90","90","40710","38630"
"New entrant CS","2021","Project Delivery","HM Revenue and Customs","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Ministry of Defence","Defence Equipment and Support","540","530","32210","29000"
"New entrant CS","2021","Project Delivery","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Ministry of Defence","Ministry of Defence (excl. agencies)","360","360","34890","33000"
"New entrant CS","2021","Project Delivery","Ministry of Defence","Submarine Delivery Agency","150","140","35320","33000"
"New entrant CS","2021","Project Delivery","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","Project Delivery","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Ministry of Justice","HM Courts and Tribunals Service","50","50","34850","30870"
"New entrant CS","2021","Project Delivery","Ministry of Justice","Ministry of Justice (excl. agencies)","90","90","34570","32870"
"New entrant CS","2021","Project Delivery","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other Cabinet Office Agencies","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other Cabinet Office Agencies","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Scottish Government","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","United Kingdom Statistics Authority","United Kingdom Statistics Authority","60","60","36540","36030"
"New entrant CS","2021","Property","Cabinet Office","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department for Education","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","50","40","[c]","[c]"
"New entrant CS","2021","Property","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department for Transport","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department for Transport","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Department of Health and Social Care","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","HM Revenue and Customs","Valuation Office Agency","260","260","25270","24500"
"New entrant CS","2021","Property","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Ministry of Defence","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Ministry of Defence","Ministry of Defence (excl. agencies)","200","190","30330","33000"
"New entrant CS","2021","Property","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Ministry of Justice","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Property","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Other Cabinet Office Agencies","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Scottish Government","Forestry and Land Scotland","50","50","[c]","[c]"
"New entrant CS","2021","Property","Scottish Government","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Cabinet Office","Cabinet Office (excl. agencies)","130","120","26630","20920"
"New entrant CS","2021","Security","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Department for Education","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Department for Transport","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Department for Transport","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Ministry of Defence","Ministry of Defence (excl. agencies)","570","570","25650","23540"
"New entrant CS","2021","Security","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Ministry of Justice","HM Prison and Probation Service","80","80","29300","27700"
"New entrant CS","2021","Security","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Charity Commission","Charity Commission","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Education","Department for Education (excl. agencies)","80","80","36230","29360"
"New entrant CS","2021","Unknown","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","16980","16660","26790","27570"
"New entrant CS","2021","Unknown","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","150","150","39180","32960"
"New entrant CS","2021","Unknown","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","510","490","[c]","[c]"
"New entrant CS","2021","Unknown","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HM Treasury","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Home Office","Home Office (incl. agencies)","2170","2130","31740","25770"
"New entrant CS","2021","Unknown","Ministry of Defence","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence","Ministry of Defence (excl. agencies)","1390","1320","29240","25390"
"New entrant CS","2021","Unknown","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other Cabinet Office Agencies","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other Cabinet Office Agencies","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scottish Government","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
