"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Department for Work and Pensions (excl. agencies)","350","310","25260","27570"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","HM Courts and Tribunals Service","90","80","21130","20370"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","HM Land Registry","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","HM Prison and Probation Service","440","410","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Ministry of Defence (excl. agencies)","120","110","26260","21830"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Public Health England","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Department for Work and Pensions (excl. agencies)","420","380","27270","27570"
"Leaver CS","2022","Heterosexual / straight","East of England","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","HM Courts and Tribunals Service","90","80","22300","20970"
"Leaver CS","2022","Heterosexual / straight","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","HM Prison and Probation Service","590","550","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Home Office","100","80","27020","25310"
"Leaver CS","2022","Heterosexual / straight","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Ministry of Defence (excl. agencies)","240","220","31140","26670"
"Leaver CS","2022","Heterosexual / straight","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Public Health England","90","80","43090","39380"
"Leaver CS","2022","Heterosexual / straight","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Cabinet Office (excl. agencies)","230","220","52440","54700"
"Leaver CS","2022","Heterosexual / straight","London","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Competition and Markets Authority","80","70","54320","54430"
"Leaver CS","2022","Heterosexual / straight","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Crown Prosecution Service","90","80","44360","53050"
"Leaver CS","2022","Heterosexual / straight","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","180","48190","52080"
"Leaver CS","2022","Heterosexual / straight","London","Department for Digital, Culture, Media and Sport","100","100","43000","36520"
"Leaver CS","2022","Heterosexual / straight","London","Department for Education (excl. agencies)","80","80","45680","40230"
"Leaver CS","2022","Heterosexual / straight","London","Department for Environment, Food and Rural Affairs (excl. agencies)","130","120","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Department for International Trade","90","90","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Department for Levelling Up, Housing and Communities (excl. agencies)","90","80","48590","43710"
"Leaver CS","2022","Heterosexual / straight","London","Department for Transport (excl. agencies)","120","120","49470","45140"
"Leaver CS","2022","Heterosexual / straight","London","Department for Work and Pensions (excl. agencies)","690","650","32130","31060"
"Leaver CS","2022","Heterosexual / straight","London","Department of Health and Social Care (excl. agencies)","110","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Government Legal Department","140","120","48940","50500"
"Leaver CS","2022","Heterosexual / straight","London","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","HM Courts and Tribunals Service","290","260","28240","23720"
"Leaver CS","2022","Heterosexual / straight","London","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","HM Prison and Probation Service","400","390","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","HM Treasury (excl. agencies)","130","120","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Home Office","530","470","39740","34630"
"Leaver CS","2022","Heterosexual / straight","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Medicines and Healthcare Products Regulatory Agency","130","130","44490","33460"
"Leaver CS","2022","Heterosexual / straight","London","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Ministry of Defence (excl. agencies)","170","160","38740","37000"
"Leaver CS","2022","Heterosexual / straight","London","Ministry of Justice (excl. agencies)","160","150","48130","42010"
"Leaver CS","2022","Heterosexual / straight","London","National Crime Agency","80","80","49190","41170"
"Leaver CS","2022","Heterosexual / straight","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Office of Gas and Electricity Markets","70","70","46620","39660"
"Leaver CS","2022","Heterosexual / straight","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Public Health England","460","420","45010","40070"
"Leaver CS","2022","Heterosexual / straight","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Serious Fraud Office","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","The National Archives","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","UK Export Finance","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","UK Health Security Agency","270","240","39310","33350"
"Leaver CS","2022","Heterosexual / straight","London","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","London","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","North East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
