"Status","Year","Age","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","South East (England)","Black","220","210","30860","29290"
"In post","2021","40-49","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","South East (England)","Mixed","130","130","33690","30930"
"In post","2021","40-49","South East (England)","Other ethnicity","60","60","31770","27570"
"In post","2021","40-49","South East (England)","Undeclared","520","500","33730","30140"
"In post","2021","40-49","South East (England)","Unknown","810","760","33350","29290"
"In post","2021","40-49","South East (England)","White","7080","6630","33560","30110"
"In post","2021","40-49","South West (England)","Asian","200","190","38360","33840"
"In post","2021","40-49","South West (England)","Black","150","140","34660","32700"
"In post","2021","40-49","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","South West (England)","Mixed","150","140","34250","30120"
"In post","2021","40-49","South West (England)","Other ethnicity","50","50","34790","31830"
"In post","2021","40-49","South West (England)","Undeclared","560","540","39060","37360"
"In post","2021","40-49","South West (England)","Unknown","850","790","36930","32720"
"In post","2021","40-49","South West (England)","White","8400","7880","37160","33380"
"In post","2021","40-49","Unknown","Asian","40","30","[c]","[c]"
"In post","2021","40-49","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","450","440","40380","35380"
"In post","2021","40-49","Unknown","White","220","210","34000","27570"
"In post","2021","40-49","Wales","Asian","110","100","34120","27570"
"In post","2021","40-49","Wales","Black","60","60","29580","27460"
"In post","2021","40-49","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Wales","Mixed","80","70","34010","28850"
"In post","2021","40-49","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Wales","Undeclared","320","300","34200","28850"
"In post","2021","40-49","Wales","Unknown","740","690","32220","26700"
"In post","2021","40-49","Wales","White","7310","6820","33710","28850"
"In post","2021","40-49","West Midlands (England)","Asian","1170","1060","29390","27570"
"In post","2021","40-49","West Midlands (England)","Black","250","240","29170","27570"
"In post","2021","40-49","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","West Midlands (England)","Mixed","100","100","34040","27570"
"In post","2021","40-49","West Midlands (England)","Other ethnicity","40","40","[c]","[c]"
"In post","2021","40-49","West Midlands (England)","Undeclared","280","260","32100","27570"
"In post","2021","40-49","West Midlands (England)","Unknown","710","670","31800","27570"
"In post","2021","40-49","West Midlands (England)","White","4630","4300","33440","28220"
"In post","2021","40-49","Yorkshire and The Humber","Asian","640","570","29940","27570"
"In post","2021","40-49","Yorkshire and The Humber","Black","130","130","29820","27570"
"In post","2021","40-49","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Yorkshire and The Humber","Mixed","120","110","32890","27570"
"In post","2021","40-49","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Yorkshire and The Humber","Undeclared","360","330","32440","28330"
"In post","2021","40-49","Yorkshire and The Humber","Unknown","920","860","34400","28070"
"In post","2021","40-49","Yorkshire and The Humber","White","6410","5940","34010","30620"
"In post","2021","50-59","East Midlands (England)","Asian","450","410","27480","25600"
"In post","2021","50-59","East Midlands (England)","Black","190","170","29380","27570"
"In post","2021","50-59","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","East Midlands (England)","Mixed","70","70","33460","27570"
"In post","2021","50-59","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","50-59","East Midlands (England)","Undeclared","380","350","30890","27570"
"In post","2021","50-59","East Midlands (England)","Unknown","520","490","29920","27130"
"In post","2021","50-59","East Midlands (England)","White","5210","4870","31590","27570"
"In post","2021","50-59","East of England","Asian","220","200","33720","28410"
"In post","2021","50-59","East of England","Black","210","200","31550","29290"
"In post","2021","50-59","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","East of England","Mixed","100","90","32550","31650"
"In post","2021","50-59","East of England","Other ethnicity","40","40","[c]","[c]"
"In post","2021","50-59","East of England","Undeclared","450","430","31820","29290"
"In post","2021","50-59","East of England","Unknown","500","470","31530","27570"
"In post","2021","50-59","East of England","White","5960","5610","32220","29290"
"In post","2021","50-59","London","Asian","2710","2560","36980","31880"
"In post","2021","50-59","London","Black","3550","3450","35030","31060"
"In post","2021","50-59","London","Chinese","90","90","44240","37910"
"In post","2021","50-59","London","Mixed","550","520","41420","35980"
"In post","2021","50-59","London","Other ethnicity","280","260","43670","35200"
"In post","2021","50-59","London","Undeclared","1630","1570","41140","35890"
"In post","2021","50-59","London","Unknown","2270","2200","48250","40180"
"In post","2021","50-59","London","White","13140","12680","48930","42410"
"In post","2021","50-59","North East (England)","Asian","50","50","29530","21580"
"In post","2021","50-59","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","50-59","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","North East (England)","Mixed","40","40","[c]","[c]"
"In post","2021","50-59","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","50-59","North East (England)","Undeclared","450","410","29320","26520"
"In post","2021","50-59","North East (England)","Unknown","880","770","26750","21440"
"In post","2021","50-59","North East (England)","White","7860","7010","29490","27570"
"In post","2021","50-59","North West (England)","Asian","350","320","29850","25560"
"In post","2021","50-59","North West (England)","Black","170","160","29240","27370"
"In post","2021","50-59","North West (England)","Chinese","40","40","[c]","[c]"
"In post","2021","50-59","North West (England)","Mixed","170","160","31090","27570"
"In post","2021","50-59","North West (England)","Other ethnicity","50","50","32700","27570"
"In post","2021","50-59","North West (England)","Undeclared","860","800","30720","27570"
"In post","2021","50-59","North West (England)","Unknown","1460","1360","30460","25670"
"In post","2021","50-59","North West (England)","White","15110","13970","30940","27570"
"In post","2021","50-59","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Northern Ireland","Undeclared","40","30","[c]","[c]"
"In post","2021","50-59","Northern Ireland","Unknown","110","100","31200","26590"
"In post","2021","50-59","Northern Ireland","White","1060","1010","29620","26670"
"In post","2021","50-59","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Overseas","Undeclared","70","70","49340","43160"
"In post","2021","50-59","Overseas","Unknown","100","100","54220","49010"
"In post","2021","50-59","Overseas","White","760","750","53970","53470"
"In post","2021","50-59","Scotland","Asian","80","80","31160","26060"
"In post","2021","50-59","Scotland","Black","30","30","[c]","[c]"
"In post","2021","50-59","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scotland","Mixed","60","60","39430","31870"
"In post","2021","50-59","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scotland","Undeclared","660","620","33500","31780"
"In post","2021","50-59","Scotland","Unknown","2350","2190","32860","29350"
"In post","2021","50-59","Scotland","White","11500","10720","33680","27570"
"In post","2021","50-59","South East (England)","Asian","360","330","30610","27690"
"In post","2021","50-59","South East (England)","Black","270","260","31400","29290"
"In post","2021","50-59","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","South East (England)","Mixed","160","150","32850","29290"
"In post","2021","50-59","South East (England)","Other ethnicity","60","60","32330","31530"
"In post","2021","50-59","South East (England)","Undeclared","930","870","33600","30780"
"In post","2021","50-59","South East (England)","Unknown","990","900","32040","27850"
"In post","2021","50-59","South East (England)","White","10730","10060","32720","29290"
"In post","2021","50-59","South West (England)","Asian","130","120","37470","33670"
"In post","2021","50-59","South West (England)","Black","120","110","33630","30830"
"In post","2021","50-59","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","South West (England)","Mixed","110","110","38640","36140"
"In post","2021","50-59","South West (England)","Other ethnicity","30","30","[c]","[c]"
"In post","2021","50-59","South West (England)","Undeclared","910","870","37220","34530"
"In post","2021","50-59","South West (England)","Unknown","840","800","34670","28600"
"In post","2021","50-59","South West (England)","White","11100","10530","36630","33200"
"In post","2021","50-59","Unknown","Asian","40","30","[c]","[c]"
"In post","2021","50-59","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Unknown","560","560","43090","37300"
"In post","2021","50-59","Unknown","White","330","310","34310","27570"
"In post","2021","50-59","Wales","Asian","50","50","33620","27570"
"In post","2021","50-59","Wales","Black","30","30","[c]","[c]"
"In post","2021","50-59","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Wales","Mixed","70","70","33390","28530"
"In post","2021","50-59","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Wales","Undeclared","400","380","33710","27680"
"In post","2021","50-59","Wales","Unknown","720","660","30810","25550"
"In post","2021","50-59","Wales","White","8390","7780","32710","27570"
"In post","2021","50-59","West Midlands (England)","Asian","760","700","28380","27130"
"In post","2021","50-59","West Midlands (England)","Black","420","400","28820","27570"
"In post","2021","50-59","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","West Midlands (England)","Mixed","90","90","29860","27570"
"In post","2021","50-59","West Midlands (England)","Other ethnicity","40","40","[c]","[c]"
"In post","2021","50-59","West Midlands (England)","Undeclared","520","470","30590","27570"
"In post","2021","50-59","West Midlands (England)","Unknown","680","650","32490","27570"
"In post","2021","50-59","West Midlands (England)","White","6940","6460","32120","27570"
"In post","2021","50-59","Yorkshire and The Humber","Asian","290","270","31840","27570"
"In post","2021","50-59","Yorkshire and The Humber","Black","180","170","31500","27570"
"In post","2021","50-59","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Yorkshire and The Humber","Mixed","100","90","33970","27570"
"In post","2021","50-59","Yorkshire and The Humber","Other ethnicity","40","30","[c]","[c]"
"In post","2021","50-59","Yorkshire and The Humber","Undeclared","540","510","31900","27680"
"In post","2021","50-59","Yorkshire and The Humber","Unknown","800","750","34830","28130"
"In post","2021","50-59","Yorkshire and The Humber","White","9140","8470","32860","27570"
"In post","2021","60-64","East Midlands (England)","Asian","90","80","25930","21440"
"In post","2021","60-64","East Midlands (England)","Black","40","40","[c]","[c]"
"In post","2021","60-64","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","60-64","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","60-64","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","60-64","East Midlands (England)","Undeclared","100","80","27530","27570"
"In post","2021","60-64","East Midlands (England)","Unknown","130","110","29090","25560"
"In post","2021","60-64","East Midlands (England)","White","1390","1140","28680","27130"
"In post","2021","60-64","East of England","Asian","70","60","30060","28130"
"In post","2021","60-64","East of England","Black","30","30","[c]","[c]"
"In post","2021","60-64","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","60-64","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","60-64","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","60-64","East of England","Undeclared","130","110","30090","28130"
"In post","2021","60-64","East of England","Unknown","130","120","30550","27570"
