"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Heterosexual / straight","Crown Office and Procurator Fiscal Service","400","370","42330","36130"
"In post","2022","40-49","Heterosexual / straight","Crown Prosecution Service","1400","1300","43930","48080"
"In post","2022","40-49","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Defence Equipment and Support","1780","1720","40890","39700"
"In post","2022","40-49","Heterosexual / straight","Defence Science and Technology Laboratory","220","210","45910","47010"
"In post","2022","40-49","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","870","840","56350","53600"
"In post","2022","40-49","Heterosexual / straight","Department for Digital, Culture, Media and Sport","250","240","57850","57730"
"In post","2022","40-49","Heterosexual / straight","Department for Education (excl. agencies)","1210","1150","48490","49860"
"In post","2022","40-49","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","1260","1190","46260","47550"
"In post","2022","40-49","Heterosexual / straight","Department for International Trade","310","300","54540","52110"
"In post","2022","40-49","Heterosexual / straight","Department for Levelling Up, Housing and Communities (excl. agencies)","550","530","50550","48200"
"In post","2022","40-49","Heterosexual / straight","Department for Transport (excl. agencies)","580","560","55540","54760"
"In post","2022","40-49","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","14310","13030","29110","27570"
"In post","2022","40-49","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","530","490","53450","52080"
"In post","2022","40-49","Heterosexual / straight","Disclosure Scotland","50","50","38030","31740"
"In post","2022","40-49","Heterosexual / straight","Driver and Vehicle Licensing Agency","990","910","29070","21840"
"In post","2022","40-49","Heterosexual / straight","Driver and Vehicle Standards Agency","740","720","31260","29650"
"In post","2022","40-49","Heterosexual / straight","Education and Skills Funding Agency","400","380","45350","40940"
"In post","2022","40-49","Heterosexual / straight","Education Scotland","60","60","60320","65280"
"In post","2022","40-49","Heterosexual / straight","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","FCDO Services","190","190","41950","38480"
"In post","2022","40-49","Heterosexual / straight","Food Standards Agency","280","270","41550","37910"
"In post","2022","40-49","Heterosexual / straight","Food Standards Scotland","40","40","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","1370","1330","54070","55950"
"In post","2022","40-49","Heterosexual / straight","Forestry and Land Scotland","90","90","38590","36700"
"In post","2022","40-49","Heterosexual / straight","Government Actuary's Department","40","40","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Government Internal Audit Agency","110","110","50190","48780"
"In post","2022","40-49","Heterosexual / straight","Government Legal Department","490","440","58220","62560"
"In post","2022","40-49","Heterosexual / straight","Government Property Agency","70","70","52740","54700"
"In post","2022","40-49","Heterosexual / straight","Health and Safety Executive","490","470","46230","44820"
"In post","2022","40-49","Heterosexual / straight","HM Courts and Tribunals Service","2700","2400","28130","23910"
"In post","2022","40-49","Heterosexual / straight","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","HM Land Registry","810","750","35330","33840"
"In post","2022","40-49","Heterosexual / straight","HM Prison and Probation Service","9340","8920","32890","31420"
"In post","2022","40-49","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","8910","8410","36360","33370"
"In post","2022","40-49","Heterosexual / straight","HM Treasury (excl. agencies)","200","190","60530","63410"
"In post","2022","40-49","Heterosexual / straight","Home Office","7270","6820","34400","29080"
"In post","2022","40-49","Heterosexual / straight","Institute for Apprenticeships and Technical Education","50","40","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Intellectual Property Office","300","280","43790","41420"
"In post","2022","40-49","Heterosexual / straight","Legal Aid Agency","260","240","32510","26900"
"In post","2022","40-49","Heterosexual / straight","Maritime and Coastguard Agency","250","240","39450","36180"
"In post","2022","40-49","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","170","170","53900","53620"
"In post","2022","40-49","Heterosexual / straight","Met Office","450","420","43460","41160"
"In post","2022","40-49","Heterosexual / straight","Ministry of Defence (excl. agencies)","5870","5670","34760","33000"
"In post","2022","40-49","Heterosexual / straight","Ministry of Justice (excl. agencies)","1170","1140","46680","41750"
"In post","2022","40-49","Heterosexual / straight","National Crime Agency","1060","1020","43330","40210"
"In post","2022","40-49","Heterosexual / straight","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","National Records of Scotland","70","60","44390","39890"
"In post","2022","40-49","Heterosexual / straight","National Savings and Investments","40","40","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","460","440","53280","51360"
"In post","2022","40-49","Heterosexual / straight","Office of Gas and Electricity Markets","140","140","52860","49410"
"In post","2022","40-49","Heterosexual / straight","Office of Qualifications and Examinations Regulation","70","60","48500","46660"
"In post","2022","40-49","Heterosexual / straight","Office of Rail and Road","70","60","58260","55430"
"In post","2022","40-49","Heterosexual / straight","Office of the Public Guardian","190","180","25040","21490"
"In post","2022","40-49","Heterosexual / straight","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Planning Inspectorate","180","170","44270","47660"
"In post","2022","40-49","Heterosexual / straight","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Registers of Scotland","180","180","36760","32380"
"In post","2022","40-49","Heterosexual / straight","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Rural Payments Agency","390","350","27720","25280"
"In post","2022","40-49","Heterosexual / straight","Scottish Courts and Tribunals Service","100","90","35370","30450"
"In post","2022","40-49","Heterosexual / straight","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Scottish Government (excl. agencies)","1610","1530","50600","47490"
"In post","2022","40-49","Heterosexual / straight","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Scottish Prison Service","300","290","35000","35000"
"In post","2022","40-49","Heterosexual / straight","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Serious Fraud Office","80","70","51190","51320"
"In post","2022","40-49","Heterosexual / straight","Social Security Scotland","420","400","33400","27940"
"In post","2022","40-49","Heterosexual / straight","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Submarine Delivery Agency","340","330","45000","42280"
"In post","2022","40-49","Heterosexual / straight","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","The Insolvency Service","300","290","35860","35510"
"In post","2022","40-49","Heterosexual / straight","The National Archives","80","70","44270","42420"
"In post","2022","40-49","Heterosexual / straight","Transport Scotland","110","100","52790","51110"
"In post","2022","40-49","Heterosexual / straight","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","UK Export Finance","110","110","57170","52680"
"In post","2022","40-49","Heterosexual / straight","UK Health Security Agency","910","840","46000","40070"
"In post","2022","40-49","Heterosexual / straight","UK Hydrographic Office","140","140","40320","35310"
"In post","2022","40-49","Heterosexual / straight","UK Space Agency","30","30","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","UK Statistics Authority","810","740","39240","36840"
"In post","2022","40-49","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Valuation Office Agency","530","500","37290","33380"
"In post","2022","40-49","Heterosexual / straight","Vehicle Certification Agency","40","30","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Veterinary Medicines Directorate","30","30","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Water Services Regulation Authority","60","50","62820","55800"
"In post","2022","40-49","Heterosexual / straight","Welsh Government (excl. agencies)","1480","1410","44590","40100"
"In post","2022","40-49","Heterosexual / straight","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Cabinet Office (excl. agencies)","70","70","51750","54700"
"In post","2022","40-49","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Crown Prosecution Service","50","50","45000","44550"
"In post","2022","40-49","LGBO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Defence Equipment and Support","50","40","[c]","[c]"
"In post","2022","40-49","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","59740","55130"
"In post","2022","40-49","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Department for Education (excl. agencies)","90","90","48710","49860"
"In post","2022","40-49","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","49970","47550"
"In post","2022","40-49","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","[c]","[c]"
"In post","2022","40-49","LGBO","Department for Transport (excl. agencies)","50","50","56690","54110"
"In post","2022","40-49","LGBO","Department for Work and Pensions (excl. agencies)","820","790","29530","27570"
"In post","2022","40-49","LGBO","Department of Health and Social Care (excl. agencies)","50","50","57480","53360"
"In post","2022","40-49","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"In post","2022","40-49","LGBO","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","40-49","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","55760","57790"
"In post","2022","40-49","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Government Legal Department","40","40","[c]","[c]"
"In post","2022","40-49","LGBO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","HM Courts and Tribunals Service","110","110","28030","24020"
"In post","2022","40-49","LGBO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","40-49","LGBO","HM Land Registry","30","30","[c]","[c]"
"In post","2022","40-49","LGBO","HM Prison and Probation Service","610","600","34200","31650"
