"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","East Midlands (England)","60","50","32030","26780"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","East of England","40","40","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","London","40","30","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","North East (England)","40","30","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","North West (England)","40","40","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","South East (England)","50","50","28160","26780"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","South West (England)","50","50","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","Wales","40","40","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","West Midlands (England)","40","40","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Standards Agency","Yorkshire and The Humber","40","40","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","South East (England)","110","100","35000","30730"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Maritime and Coastguard Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Vehicle Certification Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Vehicle Certification Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East Midlands (England)","500","450","25330","27570"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East of England","570","510","27270","27570"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","London","1060","990","32210","31060"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North East (England)","890","770","26070","21260"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North West (England)","1510","1330","26300","24300"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Scotland","800","690","24660","21260"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South East (England)","770","680","27200","27570"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South West (England)","540","450","25560","27570"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Unknown","80","80","30280","27570"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Wales","410","350","24680","21260"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","West Midlands (England)","650","550","25750","27570"
"Leaver CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","880","770","28070","27570"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","East Midlands (England)","40","30","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","North West (England)","80","70","37790","31710"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","London","410","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Unknown","90","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","130","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","East of England","50","50","40600","33090"
"Leaver CS","2022","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","London","220","210","49430","40850"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","East Midlands (England)","40","30","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","East of England","140","120","44600","40060"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","London","630","580","45600","40070"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","North East (England)","110","90","42180","36940"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","North West (England)","80","70","44540","40060"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","South East (England)","70","60","52910","45840"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","South West (England)","120","110","36410","27520"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","West Midlands (England)","110","90","45570","40060"
"Leaver CS","2022","Department of Health and Social Care","Public Health England","Yorkshire and The Humber","240","220","34250","29250"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","East of England","30","30","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","London","530","500","42890","37910"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","South West (England)","110","100","33130","28590"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care","UK Health Security Agency","Yorkshire and The Humber","30","30","[c]","[c]"
"Leaver CS","2022","Estyn","Estyn","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Estyn","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","FCDO Services","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","FCDO Services","South East (England)","60","50","41500","33390"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","London","240","60","54730","55060"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","50","50","38190","33930"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Wilton Park","South East (England)","[c]","[c]","[c]","[c]"
