"Status","Year","Sexual_orientation","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","LGBO","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Cabinet Office (excl. agencies)","60","60","42110","34280"
"Leaver Dept.","2021","Undeclared","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Home Office (incl. agencies)","60","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Home Office (incl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Cabinet Office (excl. agencies)","300","290","36820","32000"
"Leaver Dept.","2021","Unknown","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","250","240","41640","36970"
"Leaver Dept.","2021","Unknown","Female","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for International Trade","50","50","41100","37410"
"Leaver Dept.","2021","Unknown","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Work and Pensions (excl. agencies)","210","190","29810","27570"
"Leaver Dept.","2021","Unknown","Female","Department of Health and Social Care (excl. agencies)","90","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Foreign and Commonwealth Office (excl. agencies)","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Foreign, Commonwealth and Development Office (excl. agencies)","100","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","HM Prison and Probation Service","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","HM Revenue and Customs (excl. agencies)","870","830","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Home Office (incl. agencies)","50","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
