"Status","Year","Region_ITL2","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Southern Scotland","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Digital, Data and Technology","100","100","40930","38500"
"In post","2022","Southern Scotland","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Finance","40","40","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Operational Delivery","1010","910","25580","22080"
"In post","2022","Southern Scotland","Unknown","Other","60","60","29790","23480"
"In post","2022","Southern Scotland","Unknown","Policy","30","30","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Unknown","Tax","100","90","30150","28920"
"In post","2022","Southern Scotland","Unknown","Unknown","350","320","30660","27230"
"In post","2022","Southern Scotland","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Operational Delivery","750","680","27980","27570"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Other","50","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Science and Engineering","70","70","31730","28550"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Counter Fraud","120","110","28940","27570"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Digital, Data and Technology","120","120","40930","36080"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Finance","160","150","36550","33370"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Human Resources","50","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Legal","80","70","53830","56560"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Operational Delivery","4350","3960","29380","27570"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Other","230","210","27000","27570"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Policy","50","50","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Project Delivery","60","50","38950","38020"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Property","120","120","42490","38750"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Psychology","30","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Science and Engineering","380","360","34520","32560"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Security","40","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Unknown","70","70","39670","38750"
"In post","2022","Surrey, East and West Sussex","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Operational Delivery","490","450","30450","28700"
"In post","2022","Surrey, East and West Sussex","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Science and Engineering","30","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Legal","40","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Operational Delivery","690","640","28940","26970"
"In post","2022","Surrey, East and West Sussex","Unknown","Other","40","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Unknown","50","50","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
